gx,gy,gz,avg_x,avg_y,avg_z,max_x,min_x,max_y,min_y,max_z,min_z
-0.0799,-1.407007,-0.469328,-0.078691,-1.166744,-0.339527,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
-0.062809,-1.541049,-0.072819,-0.079729,-1.408347,-0.465363,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.117866,-1.245865,0.013368,-0.061002,-1.538097,-0.071957,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.329793,-0.820546,0.044131,0.119985,-1.241612,0.013676,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.40304,-0.66331,0.119087,0.330525,-0.818974,0.044881,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.423305,-0.57639,0.176219,0.403243,-0.662441,0.119658,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.390344,-0.297809,0.50119,0.422975,-0.573604,0.179469,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.355918,-0.108344,0.774156,0.39,-0.295914,0.50392,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.255814,0.577489,1.21974,0.354917,-0.101486,0.778612,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.206739,1.026735,1.372825,0.255323,0.581981,1.221271,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.166209,1.528597,1.518586,0.206334,1.031754,1.374283,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.344931,3.32961,1.73735,0.167996,1.546607,1.520774,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.329549,4.000183,1.802539,0.344777,3.336316,1.738002,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.197095,4.000183,1.891168,0.328224,4.000183,1.803425,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.197461,4.000183,1.69389,0.197099,4.000183,1.889195,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.29317,3.997742,1.153696,0.198418,4.000159,1.688488,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.410609,3.533602,0.820302,0.294344,3.993101,1.150362,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.434047,2.989257,0.708722,0.410843,3.528159,0.819186,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.39718,2.082952,0.71092,0.433678,2.980194,0.708744,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.259965,1.464994,0.844473,0.395808,2.076772,0.712256,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.222853,1.324849,0.913813,0.259594,1.463593,0.845166,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.19624,1.083867,0.965574,0.222587,1.322439,0.914331,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
0.201611,0.981444,0.963133,0.196294,1.082843,0.96555,1.219984,-0.513886,4.000183,-3.457914,2.628273,-0.502289
